id,x,y
cr18n16-2,4.135935,73.619009
Cr19an23,4.138997,73.621812
Cr35n18-43,4.134424,73.629179
Cr31n5-41,4.121998,73.622219
Balcones_de_gratomira,4.109001,73.629624
Rincon_de_las-margaritas1,4.104090,73.643506
Cl21Sur38-2,4.103937,73.646375
Condominio_quintas_de_san_jorge,4.105984,73.646384
Glorieta_la_grama,4.157604,73.638283
serramonte5,4.118274,73.650849
Colegio_gimnasio_school,4.134043,73.629179
Reserva_alcala,4.135759,73.644096
Conjunto_san_angel_galan_2,4.157708,73.644096
Cond.prados_de_san_francisco,4.156935,73.591491
Cond.bosques_de_abajam,4.142019,73.591491
Cond.terravela,4.133455,73.598690
Parque_Infantil,4.154677,73.639330
Exito_la_sabana,4.125138,73.638241
villacentro,4.133185,73.637525
Parque_de_los_estudiantes,4.147174,73.636721
Unillanos_barzal,4.145873,73.642644
