node1,node2,trail,distance,color,estimate
cr18n16-2,Cr19an23,rs,1.0,blue,0
Cr19an23,Balcones_de_gratomira,rs,4.0,blue,0
Cr35n18-43,cr18n16-2,rs,2.2,blue,0
Cr31n5-41,Balcones_de_gratomira,rs,1.09,blue,0
Rincon_de_las-margaritas1,serramonte5,rs,5.05,blue,0
Condominio_quintas_de_san_jorge,Colegio_gimnasio_school,rs,5.2,blue,0
Glorieta_la_grama,Parque_Infantil,rs,0.45,blue,0
Reserva_alcala,Rincon_de_las-margaritas1,rs,6.0,blue,0
Conjunto_san_angel_galan_2,Cond.prados_de_san_francisco,rs,0.85,red,0
Cond.prados_de_san_francisco,Cond.bosques_de_abajam,rs,9.02,blue,0
Glorieta_la_grama,Conjunto_san_angel_galan_2,rs,2.0,blue,0
cr18n16-2,Glorieta_la_grama,rs,9.3,blue,0
Cond.bosques_de_abajam,serramonte5,rs,10,blue,0
Cond.terravela,Cl21Sur38-2,rs,3.03,blue,0
Rincon_de_las-margaritas1,Cl21Sur38-2,rs,0.35,blue,0
Cl21Sur38-2,Condominio_quintas_de_san_jorge,rs,0.65,blue,0
Conjunto_san_angel_galan_2,Parque_Infantil,rs,2.04,red,0
Parque_Infantil,villacentro,rs,2.08,red,0
villacentro,Reserva_alcala,rs,0.80,red,0
Reserva_alcala,Colegio_gimnasio_school,rs,1.08,red,0
Cr31n5-41,Exito_la_sabana,rs,1.06,blue,0
Exito_la_sabana,serramonte5,rs,3.09,blue,0
Unillanos.Barzal,Parque_de_los_estudiantes,rs,1.02,blue,0
Parque_de_los_estudiantes,villacentro,rs,2.06,blue,0
